query	target	aligned_genes	percent_genes	aligned_length	percent_length	identity	score
NODE_edge_2+_length_45381_cov_280	CheckV-046072	3	4.62	1384	10.11	48.63	673.04
NODE_edge_2+_length_45381_cov_280	CheckV-051158	3	4.62	1384	10.11	48.58	672.35
NODE_edge_2+_length_45381_cov_280	CheckV-051159	3	4.62	1384	10.11	48.29	668.33
NODE_edge_2+_length_45381_cov_280	CheckV-046565	3	4.62	1384	10.11	48.19	666.95
NODE_edge_2+_length_45381_cov_280	CheckV-049860	3	4.62	1384	10.11	48.15	666.4
NODE_edge_2+_length_45381_cov_280	CheckV-044392	3	4.62	1384	10.11	47.49	657.26
NODE_edge_2+_length_45381_cov_280	CheckV-031507	4	6.15	1466	10.71	40.48	593.44
NODE_edge_2+_length_45381_cov_280	CheckV-000103	4	6.15	1434	10.48	38.91	557.97
NODE_edge_2+_length_45381_cov_280	CheckV-051543	3	4.62	1580	11.54	34.42	543.84
NODE_edge_2+_length_45381_cov_280	CheckV-000128	4	6.15	1345	9.83	39.9	536.65
NODE_edge_2+_length_45381_cov_280	CheckV-018160	5	7.69	1232	9.0	43.29	533.33
NODE_edge_2+_length_45381_cov_280	CheckV-049789	3	4.62	1297	9.48	40.81	529.31
NODE_edge_2+_length_45381_cov_280	CheckV-060380	3	4.62	1303	9.52	40.16	523.28
NODE_edge_2+_length_45381_cov_280	CheckV-060379	3	4.62	1255	9.17	39.13	491.08
NODE_edge_2+_length_45381_cov_280	CheckV-029173	3	4.62	1244	9.09	39.47	491.01
NODE_edge_2+_length_45381_cov_280	CheckV-006574	3	4.62	1244	9.09	39.45	490.76
NODE_edge_2+_length_45381_cov_280	CheckV-029123	3	4.62	1565	11.43	31.05	485.93
NODE_edge_2+_length_45381_cov_280	CheckV-023629	3	4.62	1565	11.43	30.78	481.71
NODE_edge_2+_length_45381_cov_280	CheckV-023641	3	4.62	1565	11.43	30.56	478.26
NODE_edge_2+_length_45381_cov_280	CheckV-023522	3	4.62	1565	11.43	30.22	472.94
NODE_edge_2+_length_45381_cov_280	CheckV-005551	3	4.62	1244	9.09	37.89	471.35
NODE_edge_2+_length_45381_cov_280	CheckV-029338	3	4.62	1244	9.09	37.58	467.5
NODE_edge_2+_length_45381_cov_280	CheckV-029081	3	4.62	1244	9.09	37.43	465.63
NODE_edge_2+_length_45381_cov_280	CheckV-023387	3	4.62	1244	9.09	37.29	463.89
NODE_edge_2+_length_45381_cov_280	CheckV-007206	3	4.62	1179	8.61	39.34	463.82
NODE_edge_2+_length_45381_cov_280	CheckV-052272	2	3.08	1156	8.45	39.76	459.63
NODE_edge_2+_length_45381_cov_280	CheckV-060382	2	3.08	1156	8.45	39.67	458.59
NODE_edge_2+_length_45381_cov_280	CheckV-058817	2	3.08	1156	8.45	39.62	458.01
NODE_edge_2+_length_45381_cov_280	CheckV-058985	2	3.08	1156	8.45	39.52	456.85
NODE_edge_2+_length_45381_cov_280	CheckV-051450	2	3.08	1156	8.45	39.51	456.74
NODE_edge_2+_length_45381_cov_280	CheckV-056635	2	3.08	1156	8.45	39.41	455.58
NODE_edge_2+_length_45381_cov_280	CheckV-056586	2	3.08	1156	8.45	39.37	455.12
NODE_edge_2+_length_45381_cov_280	CheckV-059992	2	3.08	1156	8.45	39.32	454.54
NODE_edge_2+_length_45381_cov_280	CheckV-058643	2	3.08	1156	8.45	39.32	454.54
NODE_edge_2+_length_45381_cov_280	CheckV-051444	2	3.08	1156	8.45	39.25	453.73
NODE_edge_2+_length_45381_cov_280	CheckV-059923	2	3.08	1156	8.45	39.21	453.27
NODE_edge_2+_length_45381_cov_280	CheckV-058821	2	3.08	1156	8.45	39.12	452.23
NODE_edge_2+_length_45381_cov_280	CheckV-060381	2	3.08	1156	8.45	39.08	451.76
NODE_edge_2+_length_45381_cov_280	CheckV-052263	2	3.08	1156	8.45	38.95	450.26
NODE_edge_2+_length_45381_cov_280	CheckV-061175	2	3.08	1156	8.45	38.92	449.92
NODE_edge_2+_length_45381_cov_280	CheckV-060435	2	3.08	1156	8.45	38.87	449.34
NODE_edge_2+_length_45381_cov_280	CheckV-053236	2	3.08	1156	8.45	38.83	448.87
NODE_edge_2+_length_45381_cov_280	CheckV-056636	2	3.08	1156	8.45	38.83	448.87
NODE_edge_2+_length_45381_cov_280	CheckV-056399	2	3.08	1156	8.45	38.83	448.87
NODE_edge_2+_length_45381_cov_280	CheckV-004630	2	3.08	1156	8.45	38.65	446.79
NODE_edge_2+_length_45381_cov_280	CheckV-060092	2	3.08	1156	8.45	38.55	445.64
NODE_edge_2+_length_45381_cov_280	CheckV-058706	2	3.08	1156	8.45	38.48	444.83
NODE_edge_2+_length_45381_cov_280	CheckV-059659	2	3.08	1156	8.45	38.48	444.83
NODE_edge_2+_length_45381_cov_280	CheckV-061195	2	3.08	1156	8.45	37.99	439.16
NODE_edge_2+_length_45381_cov_280	CheckV-055222	2	3.08	1156	8.45	37.96	438.82
NODE_edge_2+_length_45381_cov_280	CheckV-058814	2	3.08	1156	8.45	37.96	438.82
NODE_edge_2+_length_45381_cov_280	CheckV-053985	3	4.62	996	7.28	43.46	432.86
NODE_edge_2+_length_45381_cov_280	CheckV-051456	2	3.08	1156	8.45	37.41	432.46
NODE_edge_2+_length_45381_cov_280	CheckV-029360	3	4.62	1179	8.61	36.07	425.27
NODE_edge_2+_length_45381_cov_280	CheckV-000138	2	3.08	1019	7.44	41.58	423.7
NODE_edge_2+_length_45381_cov_280	CheckV-059950	3	4.62	943	6.89	44.34	418.13
NODE_edge_2+_length_45381_cov_280	CheckV-009801	2	3.08	1038	7.58	40.28	418.11
NODE_edge_2+_length_45381_cov_280	CheckV-015166	2	3.08	829	6.06	49.7	412.01
NODE_edge_2+_length_45381_cov_280	CheckV-004985	3	4.62	1194	8.72	32.08	383.04
NODE_edge_2+_length_45381_cov_280	CheckV-055331	3	4.62	922	6.74	40.86	376.73
NODE_edge_2+_length_45381_cov_280	CheckV-056725	3	4.62	922	6.74	40.86	376.73
NODE_edge_2+_length_45381_cov_280	CheckV-052161	3	4.62	849	6.2	43.67	370.76
NODE_edge_2+_length_45381_cov_280	CheckV-044351	2	3.08	849	6.2	43.49	369.23
NODE_edge_2+_length_45381_cov_280	CheckV-059031	3	4.62	849	6.2	43.43	368.72
NODE_edge_2+_length_45381_cov_280	CheckV-042503	2	3.08	849	6.2	43.2	366.77
NODE_edge_2+_length_45381_cov_280	CheckV-023675	2	3.08	1038	7.58	35.15	364.86
NODE_edge_2+_length_45381_cov_280	CheckV-049791	2	3.08	849	6.2	42.86	363.88
NODE_edge_2+_length_45381_cov_280	CheckV-053982	2	3.08	849	6.2	42.3	359.13
NODE_edge_2+_length_45381_cov_280	CheckV-056491	2	3.08	1038	7.58	34.39	356.97
NODE_edge_2+_length_45381_cov_280	CheckV-053984	2	3.08	849	6.2	41.95	356.16
NODE_edge_2+_length_45381_cov_280	CheckV-053988	2	3.08	849	6.2	41.87	355.48
NODE_edge_2+_length_45381_cov_280	CheckV-008427	4	6.15	1042	7.61	34.05	354.8
NODE_edge_2+_length_45381_cov_280	CheckV-053234	2	3.08	1103	8.06	32.09	353.95
NODE_edge_2+_length_45381_cov_280	CheckV-048652	3	4.62	957	6.99	36.85	352.65
NODE_edge_2+_length_45381_cov_280	CheckV-044197	2	3.08	833	6.09	42.31	352.44
NODE_edge_2+_length_45381_cov_280	CheckV-000640	1	1.54	682	4.98	51.2	349.18
NODE_edge_2+_length_45381_cov_280	CheckV-024760	3	4.62	905	6.61	38.33	346.89
NODE_edge_2+_length_45381_cov_280	CheckV-024789	3	4.62	905	6.61	38.32	346.8
NODE_edge_2+_length_45381_cov_280	CheckV-014477	2	3.08	815	5.95	42.47	346.13
NODE_edge_2+_length_45381_cov_280	CheckV-009859	2	3.08	1103	8.06	31.32	345.46
NODE_edge_2+_length_45381_cov_280	CheckV-023647	3	4.62	999	7.3	34.57	345.35
NODE_edge_2+_length_45381_cov_280	CheckV-029472	2	3.08	1038	7.58	33.24	345.03
NODE_edge_2+_length_45381_cov_280	CheckV-005615	2	3.08	1038	7.58	33.17	344.3
NODE_edge_2+_length_45381_cov_280	CheckV-006597	2	3.08	1038	7.58	32.87	341.19
NODE_edge_2+_length_45381_cov_280	CheckV-010520	2	3.08	862	6.3	39.37	339.37
NODE_edge_2+_length_45381_cov_280	CheckV-029020	3	4.62	999	7.3	33.9	338.66
NODE_edge_2+_length_45381_cov_280	CheckV-023640	3	4.62	999	7.3	33.53	334.96
NODE_edge_2+_length_45381_cov_280	CheckV-024818	3	4.62	905	6.61	36.96	334.49
NODE_edge_2+_length_45381_cov_280	CheckV-007432	2	3.08	1277	9.33	26.19	334.45
NODE_edge_2+_length_45381_cov_280	CheckV-005589	3	4.62	999	7.3	33.4	333.67
NODE_edge_2+_length_45381_cov_280	CheckV-029291	2	3.08	1004	7.33	32.5	326.3
NODE_edge_2+_length_45381_cov_280	CheckV-017705	2	3.08	862	6.3	37.68	324.8
NODE_edge_2+_length_45381_cov_280	CheckV-002011	2	3.08	1069	7.81	30.08	321.56
NODE_edge_2+_length_45381_cov_280	CheckV-001954	2	3.08	855	6.25	37.53	320.88
NODE_edge_2+_length_45381_cov_280	CheckV-061145	1	1.54	841	6.14	38.0	319.58
NODE_edge_2+_length_45381_cov_280	CheckV-062164	2	3.08	1277	9.33	25.02	319.51
NODE_edge_2+_length_45381_cov_280	CheckV-014915	2	3.08	1038	7.58	30.42	315.76
NODE_edge_2+_length_45381_cov_280	CheckV-019086	3	4.62	772	5.64	39.82	307.41
NODE_edge_2+_length_45381_cov_280	CheckV-002376	2	3.08	855	6.25	35.73	305.49
NODE_edge_2+_length_45381_cov_280	CheckV-054920	2	3.08	742	5.42	40.56	300.96
NODE_edge_2+_length_45381_cov_280	CheckV-059603	2	3.08	689	5.03	43.56	300.13
NODE_edge_2+_length_45381_cov_280	CheckV-054919	2	3.08	742	5.42	40.3	299.03
NODE_edge_2+_length_45381_cov_280	CheckV-029140	2	3.08	1004	7.33	29.6	297.18
NODE_edge_2+_length_45381_cov_280	CheckV-013495	3	4.62	818	5.98	36.33	297.18
NODE_edge_2+_length_45381_cov_280	CheckV-047923	2	3.08	702	5.13	41.44	290.91
NODE_edge_2+_length_45381_cov_280	CheckV-018494	2	3.08	936	6.84	30.81	288.38
NODE_edge_2+_length_45381_cov_280	CheckV-000451	2	3.08	702	5.13	40.68	285.57
NODE_edge_2+_length_45381_cov_280	CheckV-051913	2	3.08	674	4.92	42.34	285.37
NODE_edge_2+_length_45381_cov_280	CheckV-054136	2	3.08	674	4.92	42.34	285.37
NODE_edge_2+_length_45381_cov_280	CheckV-054147	2	3.08	674	4.92	42.34	285.37
NODE_edge_2+_length_45381_cov_280	CheckV-055000	2	3.08	674	4.92	42.34	285.37
NODE_edge_2+_length_45381_cov_280	CheckV-044842	2	3.08	674	4.92	42.19	284.36
NODE_edge_2+_length_45381_cov_280	CheckV-046458	2	3.08	702	5.13	40.48	284.17
NODE_edge_2+_length_45381_cov_280	CheckV-048980	2	3.08	674	4.92	42.03	283.28
NODE_edge_2+_length_45381_cov_280	CheckV-056589	3	4.62	916	6.69	30.9	283.04
NODE_edge_2+_length_45381_cov_280	CheckV-058533	2	3.08	717	5.24	38.74	277.77
NODE_edge_2+_length_45381_cov_280	CheckV-051518	2	3.08	674	4.92	40.86	275.4
NODE_edge_2+_length_45381_cov_280	CheckV-028975	2	3.08	862	6.3	31.48	271.36
NODE_edge_2+_length_45381_cov_280	CheckV-029062	2	3.08	862	6.3	31.43	270.93
NODE_edge_2+_length_45381_cov_280	CheckV-052164	2	3.08	702	5.13	38.38	269.43
NODE_edge_2+_length_45381_cov_280	CheckV-021800	3	4.62	822	6.01	32.42	266.49
NODE_edge_2+_length_45381_cov_280	CheckV-021888	2	3.08	862	6.3	30.84	265.84
NODE_edge_2+_length_45381_cov_280	CheckV-014267	1	1.54	595	4.35	44.5	264.77
NODE_edge_2+_length_45381_cov_280	CheckV-023590	2	3.08	702	5.13	37.6	263.95
NODE_edge_2+_length_45381_cov_280	CheckV-013537	2	3.08	870	6.36	30.28	263.44
NODE_edge_2+_length_45381_cov_280	CheckV-006061	2	3.08	702	5.13	37.52	263.39
NODE_edge_2+_length_45381_cov_280	CheckV-029517	2	3.08	862	6.3	30.51	263.0
NODE_edge_2+_length_45381_cov_280	CheckV-029250	2	3.08	702	5.13	37.46	262.97
NODE_edge_2+_length_45381_cov_280	CheckV-023602	2	3.08	702	5.13	37.44	262.83
NODE_edge_2+_length_45381_cov_280	CheckV-006213	2	3.08	702	5.13	37.44	262.83
NODE_edge_2+_length_45381_cov_280	CheckV-006850	2	3.08	702	5.13	37.44	262.83
NODE_edge_2+_length_45381_cov_280	CheckV-029095	2	3.08	862	6.3	30.49	262.82
NODE_edge_2+_length_45381_cov_280	CheckV-029010	2	3.08	862	6.3	30.44	262.39
NODE_edge_2+_length_45381_cov_280	CheckV-021855	2	3.08	702	5.13	37.28	261.71
NODE_edge_2+_length_45381_cov_280	CheckV-023797	2	3.08	702	5.13	37.28	261.71
NODE_edge_2+_length_45381_cov_280	CheckV-055242	1	1.54	527	3.85	49.2	259.28
NODE_edge_2+_length_45381_cov_280	CheckV-039510	2	3.08	781	5.71	33.18	259.14
NODE_edge_2+_length_45381_cov_280	CheckV-006284	2	3.08	702	5.13	36.88	258.9
NODE_edge_2+_length_45381_cov_280	CheckV-023677	2	3.08	702	5.13	36.72	257.77
NODE_edge_2+_length_45381_cov_280	CheckV-046589	2	3.08	815	5.95	31.62	257.7
NODE_edge_2+_length_45381_cov_280	CheckV-029415	2	3.08	702	5.13	36.66	257.35
NODE_edge_2+_length_45381_cov_280	CheckV-023727	2	3.08	702	5.13	36.4	255.53
NODE_edge_2+_length_45381_cov_280	CheckV-006569	2	3.08	702	5.13	36.4	255.53
NODE_edge_2+_length_45381_cov_280	CheckV-029320	2	3.08	702	5.13	36.4	255.53
NODE_edge_2+_length_45381_cov_280	CheckV-012168	2	3.08	936	6.84	27.22	254.78
NODE_edge_2+_length_45381_cov_280	CheckV-006852	2	3.08	702	5.13	36.24	254.4
NODE_edge_2+_length_45381_cov_280	CheckV-007702	2	3.08	715	5.22	35.49	253.75
NODE_edge_2+_length_45381_cov_280	CheckV-045092	2	3.08	689	5.03	36.75	253.21
NODE_edge_2+_length_45381_cov_280	CheckV-023587	2	3.08	715	5.22	35.28	252.25
NODE_edge_2+_length_45381_cov_280	CheckV-017837	1	1.54	595	4.35	41.9	249.31
NODE_edge_2+_length_45381_cov_280	CheckV-020628	3	4.62	625	4.57	39.77	248.56
NODE_edge_2+_length_45381_cov_280	CheckV-015653	2	3.08	829	6.06	29.97	248.45
NODE_edge_2+_length_45381_cov_280	CheckV-007209	1	1.54	595	4.35	41.5	246.93
NODE_edge_2+_length_45381_cov_280	CheckV-001712	1	1.54	595	4.35	41.3	245.74
NODE_edge_2+_length_45381_cov_280	CheckV-053983	1	1.54	595	4.35	41.1	244.54
NODE_edge_2+_length_45381_cov_280	CheckV-061347	2	3.08	829	6.06	29.31	242.98
NODE_edge_2+_length_45381_cov_280	CheckV-029455	1	1.54	561	4.1	43.3	242.91
NODE_edge_2+_length_45381_cov_280	CheckV-029390	1	1.54	561	4.1	43.1	241.79
NODE_edge_2+_length_45381_cov_280	CheckV-021874	1	1.54	561	4.1	42.9	240.67
NODE_edge_2+_length_45381_cov_280	CheckV-029260	1	1.54	561	4.1	42.8	240.11
NODE_edge_2+_length_45381_cov_280	CheckV-016953	2	3.08	783	5.72	30.57	239.36
NODE_edge_2+_length_45381_cov_280	CheckV-023671	2	3.08	702	5.13	34.02	238.82
NODE_edge_2+_length_45381_cov_280	CheckV-029313	2	3.08	702	5.13	33.91	238.05
NODE_edge_2+_length_45381_cov_280	CheckV-019444	2	3.08	806	5.89	29.46	237.45
NODE_edge_2+_length_45381_cov_280	CheckV-004772	1	1.54	561	4.1	42.3	237.3
NODE_edge_2+_length_45381_cov_280	CheckV-018296	3	4.62	625	4.57	37.82	236.38
NODE_edge_2+_length_45381_cov_280	CheckV-023710	2	3.08	702	5.13	33.61	235.94
NODE_edge_2+_length_45381_cov_280	CheckV-008696	1	1.54	595	4.35	39.5	235.03
NODE_edge_2+_length_45381_cov_280	CheckV-043969	1	1.54	595	4.35	39.5	235.03
NODE_edge_2+_length_45381_cov_280	CheckV-031049	2	3.08	702	5.13	33.45	234.82
NODE_edge_2+_length_45381_cov_280	CheckV-048667	1	1.54	561	4.1	41.7	233.94
NODE_edge_2+_length_45381_cov_280	CheckV-037832	1	1.54	561	4.1	41.7	233.94
NODE_edge_2+_length_45381_cov_280	CheckV-031028	1	1.54	561	4.1	41.7	233.94
NODE_edge_2+_length_45381_cov_280	CheckV-023599	2	3.08	702	5.13	33.29	233.7
NODE_edge_2+_length_45381_cov_280	CheckV-001602	1	1.54	561	4.1	41.4	232.25
NODE_edge_2+_length_45381_cov_280	CheckV-013365	1	1.54	595	4.35	39.0	232.05
NODE_edge_2+_length_45381_cov_280	CheckV-028958	2	3.08	815	5.95	28.35	231.05
NODE_edge_2+_length_45381_cov_280	CheckV-056286	2	3.08	651	4.76	35.49	231.04
NODE_edge_2+_length_45381_cov_280	CheckV-001328	1	1.54	542	3.96	42.6	230.89
NODE_edge_2+_length_45381_cov_280	CheckV-001277	1	1.54	542	3.96	42.6	230.89
NODE_edge_2+_length_45381_cov_280	CheckV-055285	1	1.54	595	4.35	38.8	230.86
NODE_edge_2+_length_45381_cov_280	CheckV-059156	2	3.08	651	4.76	35.34	230.06
NODE_edge_2+_length_45381_cov_280	CheckV-015930	2	3.08	829	6.06	27.74	229.96
NODE_edge_2+_length_45381_cov_280	CheckV-014786	2	3.08	783	5.72	29.35	229.81
NODE_edge_2+_length_45381_cov_280	CheckV-042325	1	1.54	595	4.35	38.6	229.67
NODE_edge_2+_length_45381_cov_280	CheckV-023403	1	1.54	561	4.1	40.9	229.45
NODE_edge_2+_length_45381_cov_280	CheckV-049788	1	1.54	595	4.35	38.5	229.07
NODE_edge_2+_length_45381_cov_280	CheckV-053392	2	3.08	651	4.76	35.05	228.18
NODE_edge_2+_length_45381_cov_280	CheckV-017398	1	1.54	561	4.1	40.6	227.77
NODE_edge_2+_length_45381_cov_280	CheckV-023383	1	1.54	561	4.1	40.2	225.52
NODE_edge_2+_length_45381_cov_280	CheckV-055245	2	3.08	744	5.44	29.99	223.13
NODE_edge_2+_length_45381_cov_280	CheckV-007043	1	1.54	561	4.1	39.7	222.72
NODE_edge_2+_length_45381_cov_280	CheckV-060434	1	1.54	595	4.35	37.4	222.53
NODE_edge_2+_length_45381_cov_280	CheckV-024777	1	1.54	542	3.96	40.9	221.68
NODE_edge_2+_length_45381_cov_280	CheckV-058669	2	3.08	744	5.44	29.71	221.04
NODE_edge_2+_length_45381_cov_280	CheckV-046559	2	3.08	744	5.44	29.66	220.67
NODE_edge_2+_length_45381_cov_280	CheckV-059650	1	1.54	561	4.1	39.3	220.47
NODE_edge_2+_length_45381_cov_280	CheckV-000241	1	1.54	561	4.1	39.2	219.91
NODE_edge_2+_length_45381_cov_280	CheckV-001399	1	1.54	561	4.1	39.1	219.35
NODE_edge_2+_length_45381_cov_280	CheckV-001271	1	1.54	561	4.1	39.1	219.35
NODE_edge_2+_length_45381_cov_280	CheckV-028962	1	1.54	561	4.1	39.0	218.79
NODE_edge_2+_length_45381_cov_280	CheckV-001970	1	1.54	561	4.1	38.9	218.23
NODE_edge_2+_length_45381_cov_280	CheckV-023159	1	1.54	561	4.1	38.9	218.23
NODE_edge_2+_length_45381_cov_280	CheckV-058967	1	1.54	527	3.85	41.3	217.65
NODE_edge_2+_length_45381_cov_280	CheckV-059211	1	1.54	527	3.85	41.3	217.65
NODE_edge_2+_length_45381_cov_280	CheckV-058972	1	1.54	527	3.85	41.3	217.65
NODE_edge_2+_length_45381_cov_280	CheckV-059192	1	1.54	527	3.85	41.3	217.65
NODE_edge_2+_length_45381_cov_280	CheckV-051878	1	1.54	542	3.96	40.1	217.34
NODE_edge_2+_length_45381_cov_280	CheckV-029177	1	1.54	561	4.1	38.7	217.11
NODE_edge_2+_length_45381_cov_280	CheckV-029479	1	1.54	561	4.1	38.7	217.11
NODE_edge_2+_length_45381_cov_280	CheckV-053940	1	1.54	682	4.98	31.8	216.88
NODE_edge_2+_length_45381_cov_280	CheckV-029121	1	1.54	561	4.1	38.6	216.55
NODE_edge_2+_length_45381_cov_280	CheckV-028992	1	1.54	561	4.1	38.6	216.55
NODE_edge_2+_length_45381_cov_280	CheckV-056197	2	3.08	742	5.42	29.15	216.29
NODE_edge_2+_length_45381_cov_280	CheckV-059220	1	1.54	527	3.85	41.0	216.07
NODE_edge_2+_length_45381_cov_280	CheckV-058970	1	1.54	527	3.85	40.8	215.02
NODE_edge_2+_length_45381_cov_280	CheckV-059217	1	1.54	527	3.85	40.8	215.02
NODE_edge_2+_length_45381_cov_280	CheckV-059186	1	1.54	527	3.85	40.8	215.02
NODE_edge_2+_length_45381_cov_280	CheckV-059204	1	1.54	527	3.85	40.8	215.02
NODE_edge_2+_length_45381_cov_280	CheckV-059208	1	1.54	527	3.85	40.8	215.02
NODE_edge_2+_length_45381_cov_280	CheckV-032587	1	1.54	561	4.1	38.2	214.3
NODE_edge_2+_length_45381_cov_280	CheckV-023665	1	1.54	561	4.1	38.2	214.3
NODE_edge_2+_length_45381_cov_280	CheckV-029326	1	1.54	561	4.1	38.1	213.74
NODE_edge_2+_length_45381_cov_280	CheckV-002019	1	1.54	561	4.1	38.1	213.74
NODE_edge_2+_length_45381_cov_280	CheckV-029018	1	1.54	561	4.1	37.9	212.62
NODE_edge_2+_length_45381_cov_280	CheckV-006939	1	1.54	527	3.85	40.0	210.8
NODE_edge_2+_length_45381_cov_280	CheckV-023083	1	1.54	527	3.85	40.0	210.8
NODE_edge_2+_length_45381_cov_280	CheckV-029278	1	1.54	561	4.1	37.3	209.25
NODE_edge_2+_length_45381_cov_280	CheckV-056274	1	1.54	542	3.96	38.6	209.21
NODE_edge_2+_length_45381_cov_280	CheckV-005597	1	1.54	561	4.1	37.2	208.69
NODE_edge_2+_length_45381_cov_280	CheckV-029092	1	1.54	561	4.1	37.2	208.69
NODE_edge_2+_length_45381_cov_280	CheckV-058736	1	1.54	542	3.96	38.4	208.13
NODE_edge_2+_length_45381_cov_280	CheckV-042294	1	1.54	527	3.85	39.4	207.64
NODE_edge_2+_length_45381_cov_280	CheckV-005561	1	1.54	561	4.1	37.0	207.57
NODE_edge_2+_length_45381_cov_280	CheckV-023088	1	1.54	527	3.85	39.3	207.11
NODE_edge_2+_length_45381_cov_280	CheckV-024801	1	1.54	561	4.1	36.9	207.01
NODE_edge_2+_length_45381_cov_280	CheckV-006272	2	3.08	478	3.49	43.3	206.97
NODE_edge_2+_length_45381_cov_280	CheckV-053991	1	1.54	542	3.96	38.0	205.96
NODE_edge_2+_length_45381_cov_280	CheckV-054999	1	1.54	542	3.96	38.0	205.96
NODE_edge_2+_length_45381_cov_280	CheckV-046467	1	1.54	542	3.96	38.0	205.96
NODE_edge_2+_length_45381_cov_280	CheckV-029258	1	1.54	561	4.1	36.7	205.89
NODE_edge_2+_length_45381_cov_280	CheckV-055291	1	1.54	542	3.96	37.9	205.42
NODE_edge_2+_length_45381_cov_280	CheckV-059648	1	1.54	542	3.96	37.9	205.42
NODE_edge_2+_length_45381_cov_280	CheckV-051924	1	1.54	542	3.96	37.9	205.42
NODE_edge_2+_length_45381_cov_280	CheckV-023488	1	1.54	561	4.1	36.6	205.33
NODE_edge_2+_length_45381_cov_280	CheckV-008379	1	1.54	561	4.1	36.6	205.33
NODE_edge_2+_length_45381_cov_280	CheckV-002081	1	1.54	682	4.98	30.1	205.28
NODE_edge_2+_length_45381_cov_280	CheckV-019997	1	1.54	682	4.98	30.1	205.28
NODE_edge_2+_length_45381_cov_280	CheckV-051528	1	1.54	542	3.96	37.7	204.33
NODE_edge_2+_length_45381_cov_280	CheckV-058964	1	1.54	527	3.85	38.7	203.95
NODE_edge_2+_length_45381_cov_280	CheckV-056280	1	1.54	527	3.85	38.7	203.95
NODE_edge_2+_length_45381_cov_280	CheckV-054207	2	3.08	401	2.93	50.7	203.31
NODE_edge_2+_length_45381_cov_280	CheckV-007463	2	3.08	552	4.03	36.73	202.75
NODE_edge_2+_length_45381_cov_280	CheckV-048329	1	1.54	527	3.85	38.4	202.37
NODE_edge_2+_length_45381_cov_280	CheckV-014460	2	3.08	552	4.03	36.63	202.2
NODE_edge_2+_length_45381_cov_280	CheckV-059194	1	1.54	561	4.1	36.0	201.96
NODE_edge_2+_length_45381_cov_280	CheckV-015058	1	1.54	561	4.1	36.0	201.96
NODE_edge_2+_length_45381_cov_280	CheckV-015274	2	3.08	478	3.49	42.12	201.33
NODE_edge_2+_length_45381_cov_280	CheckV-003884	2	3.08	478	3.49	42.06	201.05
NODE_edge_2+_length_45381_cov_280	CheckV-001844	1	1.54	682	4.98	29.4	200.51
NODE_edge_2+_length_45381_cov_280	CheckV-010214	2	3.08	552	4.03	36.28	200.27
NODE_edge_2+_length_45381_cov_280	CheckV-040441	1	1.54	682	4.98	29.3	199.83
NODE_edge_2+_length_45381_cov_280	CheckV-051926	1	1.54	561	4.1	35.6	199.72
NODE_edge_2+_length_45381_cov_280	CheckV-055059	1	1.54	542	3.96	36.8	199.46
NODE_edge_2+_length_45381_cov_280	CheckV-024791	1	1.54	561	4.1	35.5	199.16
NODE_edge_2+_length_45381_cov_280	CheckV-059226	1	1.54	561	4.1	35.5	199.16
NODE_edge_2+_length_45381_cov_280	CheckV-043409	1	1.54	682	4.98	29.1	198.46
NODE_edge_2+_length_45381_cov_280	CheckV-001267	1	1.54	682	4.98	29.1	198.46
NODE_edge_2+_length_45381_cov_280	CheckV-001280	1	1.54	682	4.98	29.1	198.46
NODE_edge_2+_length_45381_cov_280	CheckV-013435	2	3.08	478	3.49	41.44	198.08
NODE_edge_2+_length_45381_cov_280	CheckV-017319	1	1.54	561	4.1	35.3	198.03
NODE_edge_2+_length_45381_cov_280	CheckV-060894	1	1.54	561	4.1	35.3	198.03
NODE_edge_2+_length_45381_cov_280	CheckV-019278	2	3.08	478	3.49	41.36	197.7
NODE_edge_2+_length_45381_cov_280	CheckV-007255	1	1.54	561	4.1	35.2	197.47
NODE_edge_2+_length_45381_cov_280	CheckV-059952	1	1.54	561	4.1	35.1	196.91
NODE_edge_2+_length_45381_cov_280	CheckV-061296	2	3.08	694	5.07	28.3	196.4
NODE_edge_2+_length_45381_cov_280	CheckV-058822	1	1.54	542	3.96	36.2	196.2
NODE_edge_2+_length_45381_cov_280	CheckV-058641	1	1.54	542	3.96	36.2	196.2
NODE_edge_2+_length_45381_cov_280	CheckV-017903	1	1.54	561	4.1	34.8	195.23
NODE_edge_2+_length_45381_cov_280	CheckV-052301	1	1.54	542	3.96	36.0	195.12
NODE_edge_2+_length_45381_cov_280	CheckV-059994	1	1.54	542	3.96	36.0	195.12
NODE_edge_2+_length_45381_cov_280	CheckV-008525	2	3.08	478	3.49	40.78	194.93
NODE_edge_2+_length_45381_cov_280	CheckV-050019	1	1.54	561	4.1	34.7	194.67
NODE_edge_2+_length_45381_cov_280	CheckV-049996	1	1.54	561	4.1	34.7	194.67
NODE_edge_2+_length_45381_cov_280	CheckV-059247	1	1.54	561	4.1	34.7	194.67
NODE_edge_2+_length_45381_cov_280	CheckV-042363	1	1.54	561	4.1	34.7	194.67
NODE_edge_2+_length_45381_cov_280	CheckV-060436	1	1.54	542	3.96	35.9	194.58
NODE_edge_2+_length_45381_cov_280	CheckV-031576	1	1.54	682	4.98	28.5	194.37
NODE_edge_2+_length_45381_cov_280	CheckV-062395	1	1.54	682	4.98	28.5	194.37
